action_id,action_name,category,co2_grams,unit,confidence,related_sdgs,source_1_name,source_1_quote,source_1_url,source_2_name,source_2_quote,source_2_url,calculation_notes,accessed_date
led_vs_incandescent,Using LED instead of incandescent bulb,energy,19,per_hour,high,"7,12,13",US DOE Energy Saver,"LEDs use up to 90% less energy and last up to 25 times longer than traditional incandescent bulbs.",https://www.energy.gov/energysaver/lighting-choices-save-you-money,Smarter House,"A single 10-watt LED will save about 800 kWh over its lifetime. That single replacement will eliminate emissions of 1000 pounds of carbon dioxide.",https://smarterhouse.org/content/choosing-right-bulb,"60W incandescent vs 10W LED = 50W saved. At US grid 0.37kg/kWh = 18.5g/hour",2026-01-31
air_dry_clothes,Air drying clothes instead of tumble dryer,energy,1700,per_load,high,"7,12,13",Energy Saving Trust UK,"Tumble dryers are energy-intensive appliances using 4-5 kWh per cycle.",https://energysavingtrust.org.uk/,Carbon Trust,Heating and drying processes are among most energy-intensive household activities,https://www.carbontrust.com/,"Tumble dryer uses ~4.5 kWh/load. At US grid = 1.67kg CO2",2026-01-31
cold_water_laundry,Cold water laundry instead of hot,energy,600,per_load,medium,"6,7,12,13",Energy Saving Trust,"Washing at 30°C instead of 40°C can save around 40% of the energy per wash cycle.",https://energysavingtrust.org.uk/,,,,Hot wash uses ~1.6 kWh more than cold = 592g at US grid,2026-01-31
shorter_shower,Shorter shower (per minute saved),water,115,per_minute,medium,"6,7,13",co2data.org,"89kg CO2 ÷ (25.7l × 0.59sw/p/d × 365d ÷ 7l/min) = 0.1154 kg CO2 per min",https://www.co2data.org/c/shower,Yarra Valley Water,"Reduce an estimated 359 kg CO2-e emissions per annum. Assumes 9 L/min flow rate.",https://www.yvw.com.au/help-advice/saving-water/shower-shorter-save-water,"7L/min flow, heating water from 13°C to 55°C = ~115g CO2/min",2026-01-31
reusable_bag,Reusable shopping bag instead of plastic,consumption,10,per_use_after_breakeven,high,"12,14",Danish EPA LCA 2018,"Cotton bags need 7,100-20,000 uses to break even. Polypropylene bags break even in 10-45 uses.",https://www2.mst.dk/udgiv/publications/2018/02/978-87-93614-73-4.pdf,UK Environment Agency,HDPE bags have lower environmental impacts than paper or cotton when used once,https://www.gov.uk/government/publications/life-cycle-assessment-of-supermarket-carrier-bags,"Plastic bag ~10-33g CO2. After breakeven, each use saves full amount",2026-01-31
reusable_water_bottle,Reusable water bottle instead of single-use,consumption,83,per_use_after_breakeven,medium,"12,14",Carbon Trust,Single-use plastic bottles have significant lifecycle emissions from production and transport,https://www.carbontrust.com/,,,,500ml PET bottle ~83g CO2e. Reusable breaks even in 10-30 uses,2026-01-31
secondhand_clothing,Buying secondhand clothing instead of new,consumption,13000,per_item,medium,"12,13",WRAP UK,"Extending the life of clothes by just nine months reduces carbon, water and waste footprints by around 20-30% each.",https://wrap.org.uk/,,,,Average new garment ~13kg CO2e avoided,2026-01-31
tree_planting,Tree planting,community,15000,per_tree_per_year,medium,"13,15",EPA,Urban trees sequester 85-140 lbs CO2 over first 10 years,https://www.epa.gov/energy/greenhouse-gas-equivalencies-calculator,,,,Trees absorb 10-40kg CO2/year. Conservative 15kg/year estimate,2026-01-31
unplug_standby,Unplugging device from standby power,energy,9,per_device_per_day,medium,"7,12,13",Lawrence Berkeley National Lab,"Modern regulations limit standby to ≤1W, down from 5-15W in older devices.",https://standby.lbl.gov/,,,,1W × 24h = 24Wh × 0.37kg/kWh = 8.9g/day,2026-01-31
local_produce,Local produce instead of imported,food,100,per_kg,low,"12,13",Our World in Data,"Transport accounts for only 5-6% of food emissions globally. What you eat matters far more than where it comes from.",https://ourworldindata.org/food-choice-vs-eating-local,,,,"Transport only 5-6% of emissions. Conservative transport savings only",2026-01-31
plant_milk_vs_dairy,Plant-based milk instead of dairy,food,460,per_250ml_serving,high,"12,13,15",Our World in Data / Poore & Nemecek grapher CSV,"Milk,2010,3.15",https://ourworldindata.org/grapher/ghg-per-kg-poore.csv,Our World in Data milks comparison CSV,"Oat milk,2013,0.76,0.9031262,48.24,1.622563",https://ourworldindata.org/grapher/environmental-footprint-milks.csv,"Dairy 3.15 kg CO2e/L (P&N MEAN with losses), oat 0.903 kg/L. Per 250ml: 787.5g vs 225.75g = 561.75g delta; shipped 460g stays conservative",2026-07-18
electric_vs_gasoline_car,Electric car instead of gasoline,transport,100,per_km,medium,"7,11,13",UK DEFRA 2024,"Battery Electric Cars: Emissions have decreased by 13.56%, driven by newer, more efficient electric vehicles.",https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,,,,"Petrol 164g/km vs EV ~50-70g/km = ~100g/km savings",2026-01-31
carpool_passenger,Carpooling (per additional passenger),transport,82,per_km,high,"11,13",UK DEFRA 2024,Average car CO2 emissions divided by occupancy gives per-passenger rates,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,,,,"Two people: 164g/2 = 82g each. Each passenger saves 82g/km",2026-01-31
refuse_plastic_straw,Refusing single-use plastic straw,consumption,1,per_straw,high,"12,14",Environmental LCA studies,Single-use plastic items have small individual footprints but significant cumulative impact,https://www.sciencedirect.com/,,,,"Plastic straw ~0.4g weight. Production ~1-2g CO2e/straw",2026-01-31
